resource,consumer
Ammonite_1,Ammonite_1
Ammonite_1,Ammonite_2
Ammonite_1,Ammonite_3
Ammonite_1,Belemnite_1
Ammonite_1,Fish_1
Ammonite_2,Ammonite_2
Ammonite_2,Ammonite_3
Ammonite_2,Belemnite_1
Ammonite_2,Belemnite_2
Ammonite_2,Fish_1
Ammonite_3,Ammonite_3
Ammonite_3,Belemnite_1
Ammonite_3,Belemnite_2
Ammonite_3,Belemnite_3
Ammonite_3,Fish_1
BASAL_NODE,Bivalve_17
BASAL_NODE,Bivalve_18
BASAL_NODE,Bivalve_20
BASAL_NODE,Bivalve_21
BASAL_NODE,Bivalve_23
BASAL_NODE,Bivalve_5
BASAL_NODE,Brachiopod_1
BASAL_NODE,Brachiopod_2
BASAL_NODE,Crinoid_1
BASAL_NODE,Gastropod_1
BASAL_NODE,Serpulid_1
BASAL_NODE,Soft_2
BASAL_NODE,Soft_4
Belemnite_1,Belemnite_1
Belemnite_1,Belemnite_2
Belemnite_1,Belemnite_3
Belemnite_1,Fish_1
Belemnite_2,Belemnite_2
Belemnite_2,Belemnite_3
Belemnite_3,Belemnite_3
Bivalve_17,Ammonite_1
Bivalve_17,Ammonite_2
Bivalve_17,Ammonite_3
Bivalve_17,Belemnite_1
Bivalve_17,Fish_1
Bivalve_18,Ammonite_1
Bivalve_18,Ammonite_2
Bivalve_20,Ammonite_2
Bivalve_20,Ammonite_3
Bivalve_20,Belemnite_1
Bivalve_20,Belemnite_2
Bivalve_20,Fish_1
Bivalve_21,Ammonite_1
Bivalve_21,Ammonite_2
Bivalve_21,Ammonite_3
Bivalve_21,Belemnite_1
Bivalve_21,Fish_1
Bivalve_23,Ammonite_1
Bivalve_23,Ammonite_2
Bivalve_23,Ammonite_3
Bivalve_23,Belemnite_1
Bivalve_23,Fish_1
Brachiopod_1,Ammonite_1
Brachiopod_1,Ammonite_2
Brachiopod_1,Ammonite_3
Brachiopod_1,Belemnite_1
Brachiopod_1,Fish_1
Crinoid_1,Ammonite_2
Crinoid_1,Ammonite_3
Crinoid_1,Belemnite_1
Crinoid_1,Belemnite_2
Crinoid_1,Fish_1
Fish_1,Belemnite_1
Fish_1,Belemnite_2
Fish_1,Belemnite_3
Fish_1,Fish_1
Gastropod_1,Ammonite_1
Gastropod_1,Ammonite_2
Serpulid_1,Ammonite_1
Serpulid_1,Ammonite_2
Serpulid_1,Ammonite_3
Serpulid_1,Belemnite_1
Serpulid_1,Fish_1
Soft_2,Ammonite_1
Soft_2,Ammonite_2
Soft_2,Ammonite_3
Soft_2,Belemnite_1
Soft_2,Fish_1