Term,Network metric,Term type,Estimate / EDF,Std. Error / Ref.df,t / F value,p-value
(Intercept),connectance,parametric,0.298,0.001,241.811,<0.001
Model: log ratio,connectance,parametric,-0.126,0.002,-72.283,<0.001
Model: ATN,connectance,parametric,-0.073,0.002,-41.891,<0.001
Model: Niche,connectance,parametric,-0.18,0.002,-103.197,<0.001
Model: PFIM,connectance,parametric,-0.179,0.002,-102.983,<0.001
Model: Random,connectance,parametric,-0.077,0.002,-43.973,<0.001
Smooth: time by ADBM,connectance,smooth,2.921,2.995,22.563,<0.001
Smooth: time by log ratio,connectance,smooth,2.927,2.996,13.81,<0.001
Smooth: time by ATN,connectance,smooth,2.958,2.999,27.042,<0.001
Smooth: time by Niche,connectance,smooth,2.249,2.618,2.719,0.112
Smooth: time by PFIM,connectance,smooth,2.987,3,113.849,<0.001
Smooth: time by Random,connectance,smooth,2.604,2.882,4.72,0.016
ANOVA: shared vs model-specific smooths,connectance,anova,NA,NA,32.045,<0.001
(Intercept),trophic_level,parametric,3.583,0.032,110.465,<0.001
Model: log ratio,trophic_level,parametric,2.666,0.046,58.124,<0.001
Model: ATN,trophic_level,parametric,-0.388,0.046,-8.45,<0.001
Model: Niche,trophic_level,parametric,0.448,0.046,9.771,<0.001
Model: PFIM,trophic_level,parametric,-1.105,0.046,-24.099,<0.001
Model: Random,trophic_level,parametric,2.312,0.046,50.402,<0.001
Smooth: time by ADBM,trophic_level,smooth,2.74,2.948,15.265,<0.001
Smooth: time by log ratio,trophic_level,smooth,2.918,2.995,72.135,<0.001
Smooth: time by ATN,trophic_level,smooth,2.642,2.903,11.011,<0.001
Smooth: time by Niche,trophic_level,smooth,2.925,2.996,46.779,<0.001
Smooth: time by PFIM,trophic_level,smooth,1.496,1.811,6.427,0.007
Smooth: time by Random,trophic_level,smooth,2.994,3,607.81,<0.001
ANOVA: shared vs model-specific smooths,trophic_level,anova,NA,NA,78.029,<0.001
(Intercept),generality,parametric,0.902,0.004,200.915,<0.001
Model: log ratio,generality,parametric,-0.265,0.006,-41.698,<0.001
Model: ATN,generality,parametric,0.129,0.006,20.329,<0.001
Model: Niche,generality,parametric,0.223,0.006,35.079,<0.001
Model: PFIM,generality,parametric,0.821,0.006,129.304,<0.001
Model: Random,generality,parametric,-0.575,0.006,-90.653,<0.001
Smooth: time by ADBM,generality,smooth,2.949,2.998,101.687,<0.001
Smooth: time by log ratio,generality,smooth,2.847,2.981,25.35,<0.001
Smooth: time by ATN,generality,smooth,2.979,3,230.268,<0.001
Smooth: time by Niche,generality,smooth,1.001,1.001,0.391,0.532
Smooth: time by PFIM,generality,smooth,2.996,3,366.841,<0.001
Smooth: time by Random,generality,smooth,2.933,2.996,48.486,<0.001
ANOVA: shared vs model-specific smooths,generality,anova,NA,NA,122.123,<0.001
(Intercept),vulnerability,parametric,0.889,0.006,141.193,<0.001
Model: log ratio,vulnerability,parametric,-0.2,0.009,-22.403,<0.001
Model: ATN,vulnerability,parametric,0.178,0.009,19.974,<0.001
Model: Niche,vulnerability,parametric,-0.241,0.009,-27.068,<0.001
Model: PFIM,vulnerability,parametric,-0.257,0.009,-28.815,<0.001
Model: Random,vulnerability,parametric,0.815,0.009,91.514,<0.001
Smooth: time by ADBM,vulnerability,smooth,2.595,2.877,10.151,<0.001
Smooth: time by log ratio,vulnerability,smooth,2.909,2.993,49.94,<0.001
Smooth: time by ATN,vulnerability,smooth,2.912,2.994,45.848,<0.001
Smooth: time by Niche,vulnerability,smooth,2.824,2.976,20.777,<0.001
Smooth: time by PFIM,vulnerability,smooth,2.944,2.997,40.497,<0.001
Smooth: time by Random,vulnerability,smooth,1.412,1.697,0.222,0.695
ANOVA: shared vs model-specific smooths,vulnerability,anova,NA,NA,33.392,<0.001
(Intercept),S1,parametric,0,0.003,0,1
Model: log ratio,S1,parametric,0.749,0.004,194.021,<0.001
Model: ATN,S1,parametric,0.029,0.004,7.543,<0.001
Model: Niche,S1,parametric,0.192,0.004,49.847,<0.001
Model: PFIM,S1,parametric,0.104,0.004,27.068,<0.001
Model: Random,S1,parametric,0.011,0.004,2.787,0.005
Smooth: time by ADBM,S1,smooth,1,1,0,1
Smooth: time by log ratio,S1,smooth,2.999,3,3454.642,<0.001
Smooth: time by ATN,S1,smooth,2.473,2.798,5.453,0.001
Smooth: time by Niche,S1,smooth,2.98,3,197.148,<0.001
Smooth: time by PFIM,S1,smooth,2.952,2.998,41.261,<0.001
Smooth: time by Random,S1,smooth,1,1,0.011,0.916
ANOVA: shared vs model-specific smooths,S1,anova,NA,NA,772.574,<0.001
(Intercept),S2,parametric,1.189,0.004,282.637,<0.001
Model: log ratio,S2,parametric,-1.048,0.006,-176.145,<0.001
Model: ATN,S2,parametric,-0.733,0.006,-123.268,<0.001
Model: Niche,S2,parametric,-1.08,0.006,-181.56,<0.001
Model: PFIM,S2,parametric,-1.05,0.006,-176.486,<0.001
Model: Random,S2,parametric,-1.008,0.006,-169.46,<0.001
Smooth: time by ADBM,S2,smooth,2.998,3,3739.389,<0.001
Smooth: time by log ratio,S2,smooth,2.941,2.997,49.584,<0.001
Smooth: time by ATN,S2,smooth,2.99,3,607.421,<0.001
Smooth: time by Niche,S2,smooth,2.86,2.984,22.303,<0.001
Smooth: time by PFIM,S2,smooth,2.757,2.954,13.956,<0.001
Smooth: time by Random,S2,smooth,2.915,2.994,35.738,<0.001
ANOVA: shared vs model-specific smooths,S2,anova,NA,NA,553.156,<0.001
(Intercept),S4,parametric,1.454,0.005,271.314,<0.001
Model: log ratio,S4,parametric,-0.925,0.008,-122.084,<0.001
Model: ATN,S4,parametric,-0.113,0.008,-14.86,<0.001
Model: Niche,S4,parametric,-1.31,0.008,-172.92,<0.001
Model: PFIM,S4,parametric,-1.389,0.008,-183.346,<0.001
Model: Random,S4,parametric,0.17,0.008,22.391,<0.001
Smooth: time by ADBM,S4,smooth,2.999,3,4569.752,<0.001
Smooth: time by log ratio,S4,smooth,2.994,3,444.599,<0.001
Smooth: time by ATN,S4,smooth,2.999,3,4034.456,<0.001
Smooth: time by Niche,S4,smooth,2.854,2.983,24.949,<0.001
Smooth: time by PFIM,S4,smooth,2.786,2.964,23.029,<0.001
Smooth: time by Random,S4,smooth,2.999,3,4479.574,<0.001
ANOVA: shared vs model-specific smooths,S4,anova,NA,NA,990.095,<0.001
(Intercept),S5,parametric,1.389,0.005,283.303,<0.001
Model: log ratio,S5,parametric,-0.887,0.007,-127.994,<0.001
Model: ATN,S5,parametric,-0.22,0.007,-31.752,<0.001
Model: Niche,S5,parametric,-1.066,0.007,-153.709,<0.001
Model: PFIM,S5,parametric,-0.866,0.007,-124.911,<0.001
Model: Random,S5,parametric,-1.359,0.007,-196.042,<0.001
Smooth: time by ADBM,S5,smooth,2.998,3,1900.335,<0.001
Smooth: time by log ratio,S5,smooth,2.995,3,593.637,<0.001
Smooth: time by ATN,S5,smooth,2.996,3,940.1,<0.001
Smooth: time by Niche,S5,smooth,2.976,3,167.436,<0.001
Smooth: time by PFIM,S5,smooth,2.98,3,286.415,<0.001
Smooth: time by Random,S5,smooth,1,1,0.028,0.867
ANOVA: shared vs model-specific smooths,S5,anova,NA,NA,279.442,<0.001
